categoria,pergunta,resposta,link
admissão,Como me candidatar à Universidade de Aveiro?,"A candidatura à UA é feita através do portal nacional da DGES (www.dges.gov.pt) para o 1.º ciclo (licenciatura), usando as notas do Ensino Secundário e os exames nacionais. Para mestrados (2.º ciclo) e doutoramentos (3.º ciclo), a candidatura é feita diretamente no portal da UA (www.ua.pt/pt/candidatura). Existem também regimes especiais como Maiores de 23 anos, Titulares de Cursos Superiores e Estudantes Internacionais.",https://www.ua.pt/pt/candidatura
admissão,Quais são as fases de candidatura ao 1.º ciclo na UA?,"O acesso ao 1.º ciclo (licenciatura) tem normalmente três fases nacionais em julho/agosto, geridas pela DGES. Em cada fase, o candidato pode indicar até seis pares instituição/curso por ordem de preferência. A colocação é feita por ordem decrescente de nota de candidatura, até esgotar as vagas de cada curso.",https://www.dges.gov.pt/pt/pagina/candidatura-ao-ensino-superior
admissão,Como me candidatar a um mestrado na UA?,"A candidatura a mestrado na UA é feita diretamente no portal da UA (www.ua.pt/pt/candidatura/2-ciclo). Geralmente é necessário ter uma licenciatura na área ou afim, submeter carta de motivação, curriculum vitae e cartas de recomendação. Os prazos e requisitos específicos variam por curso — consulte a página de cada mestrado.",https://www.ua.pt/pt/candidatura/2-ciclo
admissão,Posso candidatar-me à UA pelo regime Maiores de 23 anos?,Sim. O regime Maiores de 23 anos destina-se a candidatos com 23 anos ou mais que não possuam habilitação de acesso ao ensino superior. A UA realiza provas de avaliação de capacidade (geralmente uma prova escrita e entrevista) específicas para cada curso. As inscrições para estas provas são feitas no portal da UA.,https://www.ua.pt/pt/candidatura/maiores-23
admissão,A UA aceita estudantes internacionais?,"Sim. A UA tem um programa específico para estudantes internacionais, incluindo candidaturas fora dos contingentes nacionais. Os estudantes internacionais podem candidatar-se via portal da UA. Existe apoio dedicado pelo Gabinete de Relações Internacionais para questões de visto, alojamento e integração.",https://www.ua.pt/pt/estudantes-internacionais
departamentos,Quais são os departamentos da Universidade de Aveiro?,"A UA está organizada em 16 departamentos: Biologia; Ciências Sociais, Políticas e do Território; Comunicação e Arte; Economia, Gestão, Engenharia Industrial e Turismo; Educação e Psicologia; Electrónica, Telecomunicações e Informática (DETI); Engenharia Civil; Engenharia de Materiais e Cerâmica; Engenharia Mecânica; Engenharia Química; Física; Geociências; Línguas e Culturas; Matemática; Química; e Ciências Médicas. Cada departamento fica num edifício específico no campus de Santiago, em Aveiro.",https://www.ua.pt/pt/departamentos
departamentos,Onde fica o curso de Engenharia Informática na UA?,"A Licenciatura e o Mestrado em Engenharia de Computadores e Telemática (ECT) e o Mestrado em Engenharia Informática são lecionados no Departamento de Electrónica, Telecomunicações e Informática (DETI), localizado no edifício DETI no campus de Santiago, Aveiro. O DETI fica próximo do edifício do Complexo Pedagógico.",https://www.ua.pt/pt/deti
departamentos,Onde fica o curso de Gestão na UA?,"Os cursos de Gestão e Economia são lecionados no Departamento de Economia, Gestão, Engenharia Industrial e Turismo (DEGEIT), no campus de Santiago. O DEGEIT fica no edifício Ílhavo (edifício 3) do campus.",https://www.ua.pt/pt/degeit
departamentos,Onde fica o curso de Medicina na UA?,"O curso de Medicina é lecionado pelo Departamento de Ciências Médicas (DCM), em parceria com o Hospital Infante D. Pedro (Centro Hospitalar do Baixo Vouga). O departamento fica no edifício das Ciências da Saúde no campus de Santiago.",https://www.ua.pt/pt/dcm
departamentos,Quais são os cursos de licenciatura disponíveis na UA?,"A UA oferece mais de 40 licenciaturas, incluindo: Biologia, Bioquímica, Engenharia Civil, Engenharia de Computadores e Telemática, Engenharia Eletrónica e Telecomunicações, Engenharia Mecânica, Engenharia Química, Física, Gestão, Economia, Línguas e Relações Empresariais, Matemática, Química, Comunicação e Cultura, Turismo, Enfermagem, Medicina, Psicologia, Ciências da Educação, entre outros. Consulte www.ua.pt/pt/cursos para a lista completa.",https://www.ua.pt/pt/cursos
matrícula,Como fazer a matrícula na UA após a colocação?,"Após a colocação, a matrícula é feita online no portal académico da UA (paco.ua.pt) dentro do prazo indicado no edital de colocação (geralmente 2 a 3 dias úteis). É necessário submeter digitalizações dos documentos exigidos (CC/BI, habilitações, foto) e pagar a primeira prestação de propinas. Falhar o prazo implica perda do lugar.",https://www.ua.pt/pt/matricula
matrícula,O que é o PACO?,"O PACO (Portal Académico Online) é o sistema de gestão académica da UA, acessível em paco.ua.pt. É através do PACO que o aluno faz matrículas, inscrições em unidades curriculares, consulta notas, pede certidões, acede ao horário e gere o seu percurso académico.",https://paco.ua.pt
matrícula,Como renovar a matrícula na UA para o ano seguinte?,A renovação de matrícula é feita anualmente no PACO (paco.ua.pt) no início de cada ano letivo (geralmente setembro). O aluno deve confirmar a inscrição nas unidades curriculares que pretende frequentar e garantir que as propinas do ano anterior estão pagas.,https://paco.ua.pt
